,entity_code,state,provider_type,number_of_services,number_of_hcpcs,total_beneficiaries,total_submitted_charges,avg_hcc_risk_score,submitted_charges_per_person,services_per_person,submitted_charges_per_service,region,subregion,total_pop,majority,ytest,ypred
2394,I,MS,Nurse Practitioner,108.0,28,44,4970.1,1.1361,112.96,2.45,46.02,South,East South Central,27109.0,no_majority,low,very high
6000,I,NY,Nurse Practitioner,25.0,2,13,470.0,0.9095,36.15,1.92,18.8,Northeast,Middle Atlantic,49068.0,no_majority,low,very high
9321,I,OK,Family Practice,1096.0,25,443,28018.0,1.0019,63.25,2.47,25.56,South,West South Central,6213.0,majority_white,low,very high
14825,I,VA,Family Practice,64.0,13,45,1594.68,1.1833,35.44,1.42,24.92,South,South Atlantic,30478.0,majority_white,low,very high
15209,I,WA,Nurse Practitioner,44.0,8,29,1611.67,1.3272,55.57,1.52,36.63,West,Pacific,12445.0,majority_white,low,very high
16350,I,NC,Nurse Practitioner,24.0,1,24,384.0,1.3122,16.0,1.0,16.0,South,South Atlantic,25792.0,majority_white,low,very high
19016,I,TN,Nurse Practitioner,59.0,10,23,2778.88,1.7114,120.82,2.57,47.1,South,East South Central,35754.0,majority_white,low,very high
21599,I,MA,Nurse Practitioner,45.0,7,43,1145.0,1.7688,26.63,1.05,25.44,Northeast,New England,13516.0,majority_white,low,very high
23592,I,AL,Nurse Practitioner,14.0,5,12,118.22,1.9745,9.85,1.17,8.44,South,East South Central,5961.0,majority_white,low,very high
30096,I,CA,Internal Medicine,339.0,30,110,10664.66,1.2886,96.95,3.08,31.46,West,Pacific,61216.0,majority_hispanic,low,very high
30103,I,GA,Nurse Practitioner,38.0,6,20,2073.37,1.4284,103.67,1.9,54.56,South,South Atlantic,58114.0,majority_black,low,very high
36070,I,IN,Psychiatry,36.0,3,23,1391.0,1.476,60.48,1.57,38.64,Midwest,East North Central,15728.0,majority_black,low,very high
38603,I,PA,Nurse Practitioner,23.0,7,16,922.0,1.147,57.62,1.44,40.09,Northeast,Middle Atlantic,39641.0,majority_white,low,very high
39839,I,WA,Internal Medicine,61.0,17,28,835.56,1.0629,29.84,2.18,13.7,West,Pacific,14144.0,no_majority,low,very high
41092,I,MI,Family Practice,64.0,7,30,2606.0,1.2679,86.87,2.13,40.72,Midwest,East North Central,3992.0,majority_white,low,very high
41910,I,WA,Nurse Practitioner,14.0,6,14,337.0,1.0199,24.07,1.0,24.07,West,Pacific,1844.0,majority_white,low,very high
42165,I,IA,Family Practice,26.0,4,15,1222.04,1.2468,81.47,1.73,47.0,Midwest,West North Central,1606.0,majority_white,low,very high
42530,I,MO,Family Practice,1656.0,52,372,57178.0,1.0757,153.7,4.45,34.53,Midwest,West North Central,1499.0,majority_white,low,very high
45570,I,MN,Family Practice,299.0,16,67,3705.0,1.4149,55.3,4.46,12.39,Midwest,West North Central,41671.0,no_majority,low,very high
46299,I,OR,Licensed Clinical Social Worker,31.0,1,24,1323.0,1.9061,55.12,1.29,42.68,West,Pacific,23027.0,majority_white,low,very high
47292,I,NY,Nurse Practitioner,21.0,2,17,980.0,1.6596,57.65,1.24,46.67,Northeast,Middle Atlantic,23951.0,no_majority,low,very high
53531,I,LA,Registered Dietitian or Nutrition Professional,206.0,2,46,17696.36,1.4555,384.7,4.48,85.9,South,West South Central,36307.0,majority_white,low,very high
53747,I,LA,Nurse Practitioner,177.0,13,69,3515.0,1.1089,50.94,2.57,19.86,South,West South Central,16484.0,majority_white,low,very high
54612,I,TN,Nurse Practitioner,360.0,25,158,11709.0,1.2918,74.11,2.28,32.52,South,East South Central,6487.0,majority_white,low,very high
55532,I,MS,Family Practice,802.0,32,149,19059.0,1.5929,127.91,5.38,23.76,South,East South Central,32526.0,majority_black,low,very high
57583,I,VA,Family Practice,420.0,10,154,10953.0,1.2503,71.12,2.73,26.08,South,South Atlantic,4993.0,majority_white,low,very high
59699,I,WA,Registered Dietitian or Nutrition Professional,37.0,3,17,4199.0,1.8382,247.0,2.18,113.49,West,Pacific,23278.0,majority_white,low,very high
63998,I,MA,Nurse Practitioner,23.0,11,18,741.0,1.1588,41.17,1.28,32.22,Northeast,New England,43604.0,majority_white,low,very high
65749,I,IL,Family Practice,53.0,11,34,2182.81,1.4685,64.2,1.56,41.19,Midwest,East North Central,75995.0,majority_white,low,very high
70762,I,ME,Family Practice,625.0,13,125,30131.0,1.1044,241.05,5.0,48.21,Northeast,New England,2193.0,majority_white,low,very high
73483,I,CA,Physician Assistant,215.0,16,187,125223.0,2.2457,669.64,1.15,582.43,West,Pacific,55269.0,majority_hispanic,low,very high
75413,I,RI,Internal Medicine,43.0,8,22,1465.0,1.8307,66.59,1.95,34.07,Northeast,New England,29153.0,majority_white,low,very high
