,entity_code,state,provider_type,number_of_services,number_of_hcpcs,total_beneficiaries,total_submitted_charges,avg_hcc_risk_score,submitted_charges_per_person,services_per_person,submitted_charges_per_service,region,subregion,total_pop,majority,ytest,ypred
918,I,NM,Diagnostic Radiology,29.0,17,15,726.0,1.6680000000000001,48.4,1.93,25.03,West,Mountain,24123.0,no_majority,very low,very high
2562,I,SD,Certified Nurse Midwife,16.0,4,15,903.0,0.8483,60.2,1.07,56.44,Midwest,West North Central,22501.0,majority_white,very low,very high
2789,I,KY,Nurse Practitioner,310.0,32,119,7781.04,1.5591,65.39,2.61,25.1,South,East South Central,6507.0,majority_white,very low,very high
5942,I,AR,Nurse Practitioner,39.0,12,15,1165.8,1.3619,77.72,2.6,29.89,South,West South Central,56445.0,no_majority,very low,very high
6948,I,MI,Family Practice,80.0,6,20,1936.0,1.4554,96.8,4.0,24.2,Midwest,East North Central,8479.0,majority_white,very low,very high
8714,I,OH,Family Practice,28.0,5,20,678.0,1.4245,33.9,1.4,24.21,Midwest,East North Central,14905.0,majority_white,very low,very high
8829,I,MI,Physician Assistant,36.0,5,13,801.0,0.9811,61.62,2.77,22.25,Midwest,East North Central,8479.0,majority_white,very low,very high
16081,I,MI,Family Practice,33.0,3,26,614.74,1.9891,23.64,1.27,18.63,Midwest,East North Central,27361.0,majority_black,very low,very high
16475,I,ME,Nurse Practitioner,380.0,12,134,15699.57,1.6436,117.16,2.84,41.31,Northeast,New England,1313.0,majority_white,very low,very high
17586,I,GA,Nurse Practitioner,122.0,9,32,3728.35,1.4327,116.51,3.81,30.56,South,South Atlantic,30076.0,no_majority,very low,very high
21750,I,SC,Family Practice,584.0,16,250,22939.0,0.9440000000000001,91.76,2.34,39.28,South,South Atlantic,28744.0,majority_black,very low,very high
25254,I,WV,Nurse Practitioner,70.0,14,27,2573.58,1.0098,95.32,2.59,36.77,South,South Atlantic,1965.0,majority_white,very low,very high
26036,I,OH,Family Practice,62.0,6,55,2123.0,1.1504,38.6,1.13,34.24,Midwest,East North Central,21854.0,majority_white,very low,very high
26482,I,MD,Nurse Practitioner,43.0,11,39,1899.2,1.3858,48.7,1.1,44.17,South,South Atlantic,9726.0,majority_white,very low,very high
27691,I,NV,Certified Nurse Midwife,24.0,3,17,1059.0,1.0846,62.29,1.41,44.12,West,Mountain,19760.0,majority_white,very low,very high
29263,I,WI,Family Practice,70.0,12,32,2226.42,2.4678,69.58,2.19,31.81,Midwest,East North Central,18074.0,majority_white,very low,very high
29653,I,MO,Nurse Practitioner,43.0,19,30,1240.0,1.151,41.33,1.43,28.84,Midwest,West North Central,4158.0,majority_white,very low,very high
45089,I,CA,Internal Medicine,24.0,3,23,600.0,0.9556,26.09,1.04,25.0,West,Pacific,44686.0,majority_white,very low,very high
45643,I,NY,Family Practice,23.0,5,20,325.0,1.3568,16.25,1.15,14.13,Northeast,Middle Atlantic,95643.0,no_majority,very low,very high
